id,label,artist,src
139,我的歌声里,曲婉婷,曲婉婷 - 我的歌声里.mp3
140,太坦白,李荣浩,李荣浩 - 太坦白.mp3
141,一起摇摆,汪峰,汪峰 - 一起摇摆.mp3
142,致爱 Your Song,鹿晗,鹿晗 - 致爱 Your Song.mp3
143,Honor,unknown,Honor.mp3
144,简简单单,林俊杰,林俊杰 - 简简单单.mp3
145,最佳损友,陈奕迅,陈奕迅 - 最佳损友.mp3
146,你是我的唯一 (Live),林俊杰,林俊杰 - 你是我的唯一 (Live).mp3
147,螢,RADWIMPS,RADWIMPS - 螢.mp3
148,断点,张敬轩,张敬轩 - 断点.mp3
149,Too Bad,林俊杰,林俊杰 - Too Bad.mp3
150,星辰,张杰,张杰 - 星辰.mp3
151,Perfect,Ed Sheeran,Ed Sheeran - Perfect.mp3
152,阴天快乐,陈奕迅,陈奕迅 - 阴天快乐.mp3
153,ふ・れ・ん・ど・し・た・い,水瀬いのり、MAO、小澤亜李、高橋李依,水瀬いのり、MAO、小澤亜李、高橋李依 - ふ・れ・ん・ど・し・た・い.mp3
154,演员,薛之谦,薛之谦 - 演员.mp3
155,三生三世,张杰,张杰 - 三生三世.mp3
156,The Phoenix,Fall Out Boy,Fall Out Boy - The Phoenix.mp3
157,以父之名,周杰伦,周杰伦 - 以父之名.mp3
158,黑色毛衣,周杰伦,周杰伦 - 黑色毛衣.mp3
159,缘分一道桥,王力宏、谭维维,王力宏、谭维维 - 缘分一道桥.mp3
160,浪漫血液,林俊杰,林俊杰 - 浪漫血液.mp3
161,我继续,林俊杰,林俊杰 - 我继续.mp3
162,爱情转移,陈奕迅,陈奕迅 - 爱情转移.mp3
163,时间都去哪了,王铮亮,王铮亮 - 时间都去哪了.mp3
164,红尘客栈,周杰伦,周杰伦 - 红尘客栈.mp3
165,飘移,周杰伦,周杰伦 - 飘移.mp3
166,ne! ne! ne!,STARTails☆,STARTails☆ - ne! ne! ne!.mp3
167,蜗牛 (Live),周杰伦,周杰伦 - 蜗牛 (Live).mp3
168,敷衍,薛之谦,薛之谦 - 敷衍.mp3
169,鞋子特大号,周杰伦,周杰伦 - 鞋子特大号.mp3
170,披风,陈奕迅,陈奕迅 - 披风.mp3
171,神代梦华谭,泠鸢yousa,泠鸢yousa - 神代梦华谭-官方版.mp3
172,妈妈的娜鲁娃,林俊杰,林俊杰 - 妈妈的娜鲁娃.mp3
173,父亲,筷子兄弟,筷子兄弟 - 父亲.mp3
174,Try,周杰伦、派伟俊,周杰伦、派伟俊 - Try.mp3
175,蓝绿,李荣浩,李荣浩 - 蓝绿.mp3
176,伟大的渺小,林俊杰,林俊杰 - 伟大的渺小.mp3
177,星座,王力宏,王力宏 - 星座.mp3
178,逍遥叹,胡歌,胡歌 - 逍遥叹.mp3
179,林俊杰,故事细腻,故事细腻-林俊杰.mp3
180,怀梦之泽,泠鸢yousa、银临,泠鸢yousa、银临 - 怀梦之泽.mp3
181,给我一首歌的时间,周杰伦,周杰伦 - 给我一首歌的时间.mp3
182,那是你离开了北京的生活,薛之谦,薛之谦 - 那是你离开了北京的生活.mp3
183,Pachelbels_Canon_In,unknown,Pachelbels_Canon_In.mp3
184,心做し,鹿乃,鹿乃 - 心做し.mp3
185,突然好想你,五月天,五月天 - 突然好想你.mp3
186,只对你有感觉,林俊杰,林俊杰 - 只对你有感觉.mp3
187,发如雪,周杰伦,周杰伦 - 发如雪.mp3
188,生生,林俊杰,林俊杰 - 生生.mp3
189,其实,薛之谦,薛之谦 - 其实.mp3
190,爸我回来了,周杰伦,周杰伦 - 爸我回来了.mp3
191,Friends (Remix),Justin Bieber、Julia Michaels、BloodPop®,Justin Bieber、Julia Michaels、BloodPop® - Friends (Remix).mp3
192,黑夜问白天,林俊杰,林俊杰 - 黑夜问白天.mp3
193,曹操,林俊杰,林俊杰 - 曹操.mp3
194,月光,胡彦斌,胡彦斌 - 月光.mp3
195,裙姊,李荣浩,李荣浩 - 裙姊.mp3
196,像我这样的人,毛不易,毛不易 - 像我这样的人 - Live.mp3
197,夢路らびりんす,原田彩楓、本渡楓、久保ユリカ、佳村はるか,原田彩楓、本渡楓、久保ユリカ、佳村はるか - 夢路らびりんす.mp3
198,老街,李荣浩,李荣浩 - 老街.mp3
199,千本樱,群星,群星 - 千本樱 - 幼女版.mp3
200,星空,五月天,五月天 - 星空.mp3
201,慢慢,胡彦斌,胡彦斌 - 慢慢.mp3
202,Animals,Maroon 5,Maroon 5 - Animals.mp3
203,稻香,周杰伦,周杰伦 - 稻香.mp3
204,Imagine Dragons,Believer,Believer-Imagine Dragons.mp3
205,断了的弦,周杰伦,周杰伦 - 断了的弦.mp3
206,告白,初音ミク,初音ミク - 告白.mp3
207,曾经的你,许巍,许巍 - 曾经的你.mp3
208,一眼万年,林俊杰,林俊杰 - 一眼万年.mp3
209,青い栞,Galileo Galilei,Galileo Galilei - 青い栞.mp3
210,遇见,孙燕姿,孙燕姿 - 遇见.mp3
211,何以歌,KBShinya,KBShinya - 何以歌.mp3
212,小酒窝 (独唱版),林俊杰,林俊杰 - 小酒窝 (独唱版).mp3
213,弹唱,林俊杰,林俊杰 - 弹唱.mp3
214,昨日青空,尤长靖,尤长靖 - 昨日青空.mp3
215,皮囊,萧敬腾,萧敬腾 - 皮囊.mp3
216,独舞,林俊杰,林俊杰 - 独舞.mp3
217,搁浅,周杰伦,周杰伦 - 搁浅.mp3
218,RISE,The Glitch Mob Mako The Word Alive,The Glitch Mob Mako The Word Alive - RISE.mp3
219,"明天,你好",牛奶咖啡,"牛奶咖啡 - 明天,你好.mp3"
220,至少还有你,林俊杰,林俊杰 - 至少还有你.mp3
221,Despacito,Luis Fonsi、Daddy Yankee、Justin Bieber,Luis Fonsi、Daddy Yankee、Justin Bieber - Despacito.mp3
222,丑八怪,薛之谦,薛之谦 - 丑八怪.mp3
223,20180511_181827,unknown,20180511_181827.m4a
224,模特,李荣浩,李荣浩 - 模特.mp3
225,なんでもないや,RADWIMPS,RADWIMPS - なんでもないや.mp3
226,违背的青春,薛之谦,薛之谦 - 违背的青春.mp3
227,Vital,遠藤正明,遠藤正明 - Vital.mp3
228,如果有一天 (Live),李荣浩,李荣浩 - 如果有一天 (Live).mp3
229,圣诞结,陈奕迅,陈奕迅 - 圣诞结.mp3
230,Magic_Mullet,unknown,Magic_Mullet.mp3
231,Tummy,RADWIMPS,RADWIMPS - Tummy.mp3
232,算什么男人,周杰伦,周杰伦 - 算什么男人.mp3
233,在这个世界相遇,陈奕迅,陈奕迅 - 在这个世界相遇.mp3
234,我们的爱 (Live),林俊杰,林俊杰 - 我们的爱 (Live).mp3
235,飞机,林俊杰、林俊峰,林俊杰、林俊峰 - 飞机.mp3
236,山河令 (Live),排骨教主,排骨教主 - 山河令 (Live).mp3
237,难以启齿的柔弱,金志文,金志文 - 难以启齿的柔弱.mp3
